ন্ত্র ন্ত্রা ন্ত্রি ন্ত্রী ন্ত্রু ন্ত্রূ ন্ত্রে ন্ত্রো
ন্ত্র্য ন্ত্র্যা ন্ত্র্যি ন্ত্র্যী ন্ত্র্যু ন্ত্র্যূ ন্ত্র্যে ন্ত্র্যো
ন্হ ন্হা ন্হি ন্হী ন্হু ন্হূ ন্হে ন্হো
ন্দ ন্দা ন্দি ন্দী ন্দু ন্দূ ন্দে ন্দো
ন্দ্য ন্দ্যা ন্দ্যি ন্দ্যী ন্দ্যু ন্দ্যূ ন্দ্যে ন্দ্যো
ন্দ্ব ন্দ্বা ন্দ্বি ন্দ্বী ন্দ্বু ন্দ্বূ ন্দ্বে ন্দ্বো
ন্দ্র ন্দ্রা ন্দ্রি ন্দ্রী ন্দ্রু ন্দ্রূ ন্দ্রে ন্দ্রো
ন্ধ ন্ধা ন্ধি ন্ধী ন্ধু ন্ধূ ন্ধে ন্ধো
ন্ধ্য ন্ধ্যা ন্ধ্যি ন্ধ্যী ন্ধ্যু ন্ধ্যূ ন্ধ্যে ন্ধ্যো
ন্ধ্র ন্ধ্রা ন্ধ্রি ন্ধ্রী ন্ধ্রু ন্ধূ্র ন্ধ্রে ন্ধ্রো
ন্ন ন্না ন্নি ন্নী ন্নূ ন্নূ ন্নে ন্নো
ন্ন্য ন্ন্যা ন্ন্যি ন্ন্যী ন্ন্যু ন্ন্যূ ন্ন্যে ন্ন্যো
ন্ব ন্বা ন্বি ন্বী ন্বু ন্বূ ন্বে ন্বো
ন্ম ন্মা ন্মি ন্মী ন্মু ন্মূ ন্মে ন্মো 
ন্য ন্যা ন্যি ন্যী ন্যু ন্যূ ন্যে ন্যো
ন্স ন্সা ন্সি ন্সী ন্সু ন্সূ ন্সে ন্সো
প্ট প্টা প্টি প্টী প্টু প্টূ প্টে প্টো
প্ত প্তা প্তি প্তী প্তু প্তূ প্তে প্তো
প্ন প্না প্নি প্নী প্নু প্নূ প্নে প্নো
প্প প্পা প্পি প্পী প্পু প্পূ প্পে প্পো
প্য প্যা প্যি প্যী প্যু প্যূ প্যে প্যো
প্র প্রা প্রি প্রী প্রু প্রূ প্রে প্রো
প্র্য প্র্যা প্র্যি প্র্যী প্র্যু প্র্যূ প্র্যে প্র্যো
প্ল প্লা প্লি প্লী প্লু প্লূ প্লে প্লো
প্ল্য প্ল্যা প্ল্যি প্ল্যী প্ল্যু প্ল্যূ প্ল্যে প্ল্যো
প্স প্সা প্সি প্সী প্সু প্সূ প্সে প্সো 
ফ্র ফ্রা ফ্রি ফ্রী ফ্রু ফ্রূ ফ্রে ফ্রো
ফ্ল ফ্লা ফ্লি ফ্লী ফ্লু ফ্লূ ফ্লে ফ্লো
ফ্ল্য ফ্ল্যা ফ্ল্যি ফ্ল্যী ফ্ল্যু ফ্ল্যূ ফ্ল্যে ফ্ল্যো
ব্জ ব্জা ব্জি ব্জী ব্জু ব্জূ ব্জে ব্জো
ব্দ ব্দা ব্দি ব্দী ব্দু ব্দূ ব্দে ব্দো
ব্ধ ব্ধা ব্ধি ব্ধী ব্ধু ব্ধূ ব্ধে ব্ধো
ব্ব ব্বা ব্বি ব্বী ব্বু ব্বূ ব্বে ব্বো
